gindex,player,pos,team,points,p10,p90,sd,games,health_environment_delta,health_floor_delta,role_system_ceiling_lift,role_sd_lift,team_uncertainty_lift,league_scheme_delta,neutral_context_delta,target_share,rush_share,goal_line_share,role_margin,target_hhi,rush_hhi,coach_proe,pace_multiplier,new_coach,roster_continuity,contingent_gain,behind,volume_ratio,td_dependence,health_ratio
447,Darnell Mooney,WR,NYG,67.84266,28.6833,111.365974,34.000008,14.476,-2.727974,-0.9447403,19.832756,13.919771,-0.94860077,-5.928749,-10.377686,0.0842801503274291,0.0020454488226218,0.0003955662922718,-0.1452770537121424,0.1219595036765839,0.3114201937567469,-0.0379548155758191,1.0186691515658644,True,0.8426877470355731,5.0048980712890625,Malik Nabers,,,
486,Hollywood Brown,WR,PHI,67.75512,30.85401,110.69216,35.2981,14.43,2.407158,-0.44483757,13.759026,14.33065,-0.52423096,-7.340164,-2.6926575,0.0796257774414204,0.0013330613735878,0.0004418823477385,-0.1594846333328003,0.1257636651083655,0.456061236285385,-0.0257069245630155,0.9974740495484936,False,0.8473824312333629,,,,,
556,Sean Tucker,RB,TB,67.57549,27.058332,114.267166,33.81961,15.02,-1.5838699,-4.139675,22.598106,14.055105,-0.5149765,-1.6260681,-0.76491547,0.0201009456870655,0.1503331476171701,0.3603913106315312,-0.3955567087965564,0.1326599254096101,0.3682656615316566,0.0102168002781305,1.019087608186837,False,0.8724547057880391,,,,,
6,Trey Benson,RB,ARI,67.55108,27.041506,111.56666,36.683846,13.318,-4.6538124,-2.6762123,20.095894,14.497082,-4.6096344,-1.5649872,2.6331253,0.0325185675896323,0.1274316886486129,0.0480831158093853,-0.2463547093326869,0.1354945388129577,0.2518147078530476,0.0128423720766785,1.0057299991686912,False,0.4367641169403284,8.015125274658203,James Conner,,,
461,Isaiah Davis,RB,NYJ,66.82825,26.42656,112.94902,35.32869,14.914,-3.5319023,-4.1244106,21.394241,14.283638,-1.6592407,0.1544342,-1.0734253,0.0409179061770384,0.1020467410409234,0.0524556789262754,-0.4969669650358539,0.1279879451716588,0.4203132315656706,-0.0248394610887128,1.009773637040308,False,0.3558851591638476,,,,,
600,Luke McCaffrey,WR,WAS,65.896935,31.347782,106.83502,31.152914,14.82,-7.1879997,-5.979252,15.940842,11.332323,3.6096878,-0.32289886,-2.8330612,0.0542436299217544,0.0016448721878545,0.0001554643528055,-0.1641063260772017,0.1085564630587701,0.2982102862904369,-0.0100617340773956,0.9912855940986504,False,0.3306882870450233,,,,,
396,Josh Oliver,TE,MIN,65.87411,27.383472,107.74701,33.601303,15.474,-6.07679,-0.43084908,17.863503,13.90634,-4.5326843,3.881012,1.5743256,0.0575646606628905,0.0006552396279363,4.01394601449968e-05,-0.1056307781749759,0.1600434327998587,0.3896957606338575,0.0267451506674542,0.998050360230593,False,0.925256561620198,,,,,
423,Devin Neal,RB,NO,65.7973,24.125751,118.30683,38.22144,13.968,-5.5862427,-3.075468,27.022217,15.53474,3.722847,1.3424072,-1.4001465,0.0369455205227891,0.0996010876106694,0.0834592892624401,-0.3021982091874035,0.1308987891119802,0.2932626321393197,0.0027110617239793,0.9802210990453571,False,0.4028631510837916,13.603282928466797,Alvin Kamara,,,
258,Nick Westbrook-Ikhine,WR,IND,65.50072,29.523417,109.333885,33.443817,15.122,-1.4318008,-0.39959145,21.00869,14.884079,2.8963318,-1.9517365,-1.0069733,0.0744350397827283,0.0023759121974677,0.0003246806529379,-0.1124867053676309,0.1247273352590742,0.5588868868982128,-0.0065445017950927,0.9827606286728532,False,0.4314789687924016,,,,,
346,Mike Washington Jr.,RB,LV,65.06075,25.65659,114.44674,37.54617,14.792,0.36647034,-3.3618317,28.33097,17.567274,3.6549377,-0.33782196,-10.703659,0.0254461767218772,0.1889819261867772,0.1893462973871484,-0.4785296533148198,0.1224140550460232,0.4851974502007449,0.0,1.0,True,0.8254781733321132,,,,,
200,Isaac TeSlaa,WR,DET,64.796745,25.278063,111.48167,35.15681,14.916,-3.8228989,-1.6009178,28.099945,15.9881115,4.1882706,0.34934998,3.0776596,0.0585604664425434,0.0018690608503163,0.0002423806007045,-0.2093275474090239,0.1499231916251425,0.3977798292692783,0.0050952669213471,1.0006848662147716,False,0.4286541483993713,,,,,
366,Ollie Gordon II,RB,MIA,64.53058,24.615477,114.29266,37.72543,15.004,-3.2447968,-4.57691,27.515701,18.192556,-1.6050034,0.4577484,1.414669,0.020560319345697,0.1403621089884391,0.1977332152845582,-0.3921439144890346,0.1040702857040609,0.3603501687453079,0.0,1.0,True,0.6645047716112295,,,,,
352,Jack Bech,WR,LV,64.135826,27.987202,110.4715,32.509975,14.984,2.7244644,0.19310188,21.483994,13.698381,-1.5270004,-0.16681671,-2.9885406,0.0785154843061835,0.0018189535527312,0.0002277688534919,-0.0900279795013651,0.1224140550460232,0.4851974502007449,0.0,1.0,True,0.8254781733321132,,,,,
595,Jeremy McNichols,RB,WAS,63.969555,25.202627,106.96529,37.355576,14.222,1.3281441,-0.85305214,23.30664,17.940275,4.762192,1.083046,2.9055977,0.0439008530912483,0.0916986321346308,0.0710656564281932,-0.3401980214539813,0.1085564630587701,0.2982102862904369,-0.0100617340773956,0.9912855940986504,False,0.3306882870450233,,,,,
305,Ty Simpson,QB,LA,63.79497,1.6400802,131.09778,53.49641,13.772,-63.79497,-1.6400802,-3.3582153,1.4039726,-5.391617,2.1647224,4.2777176,0.0,0.0,0.0,0.0,0.1513191546804098,0.4273850996991157,0.0238526331952171,0.9818293069645876,False,0.528956228956229,69.20796394348145,Matthew Stafford,,,
519,Emanuel Wilson,RB,SEA,63.63494,22.655842,114.46525,38.96215,14.69,2.1172638,-1.1681423,28.313484,19.694849,0.2511673,-1.5898972,0.97299194,0.020977415444277,0.157236660447965,0.1308993956436607,-0.2838927776312409,0.1405985830746451,0.285522936462633,0.0033032852808487,1.01255678174596,False,0.4815431383902721,,,,,
524,Tory Horton,WR,SEA,62.7916,29.05621,103.66071,29.633135,13.63,1.002655,-1.9288464,13.065445,7.085739,-3.0924988,-2.890583,0.36305618,0.0644383701971968,0.002573100339512,0.0002616259601509,-0.2009669733805061,0.1405985830746451,0.285522936462633,0.0033032852808487,1.01255678174596,False,0.4815431383902721,,,,,
596,Jerome Ford,RB,WAS,62.780117,26.832016,109.967415,35.295967,15.054,-0.7678528,-3.628809,21.341202,17.2323,2.6504211,0.3584404,1.6649933,0.0380142443915751,0.1159197201074468,0.1456122878963447,-0.3159769334811653,0.1085564630587701,0.2982102862904369,-0.0100617340773956,0.9912855940986504,False,0.3306882870450233,,,,,
381,J.J. McCarthy,QB,MIN,61.52438,4.0241537,126.23391,48.055542,12.984,-61.52438,-4.0241537,-5.977028,-0.233387,-2.9646683,1.3612213,-0.42568588,0.0,0.0,0.0,0.0,0.1600434327998587,0.3896957606338575,0.0267451506674542,0.998050360230593,False,0.925256561620198,60.63554573059082,Kyler Murray,,,
544,Demarcus Robinson,WR,SF,61.104965,28.038511,98.53271,30.646421,14.642,-1.0576706,-2.5107422,12.530029,11.454508,-2.8304749,-3.231636,0.27278137,0.0662804303801191,0.0019330684139608,0.0002078282612493,-0.1011798860081176,0.1395776308512003,0.4150714957788185,-0.0020939941264897,1.0311013569435277,False,0.3954033084467867,,,,,
343,Fernando Mendoza,QB,LV,61.089664,2.8772304,125.47945,45.87762,13.662,-61.089664,-2.8772304,-0.05378723,0.46468353,0.4152298,-0.613369,-6.173153,0.0,0.0,0.0,0.0,0.1224140550460232,0.4851974502007449,0.0,1.0,True,0.8254781733321132,61.77394104003906,Kirk Cousins,,,
100,Roschon Johnson,RB,CHI,60.983067,23.65686,106.66456,34.3285,14.81,-1.2501945,-2.6894283,22.75663,15.484619,-2.6250916,1.6542511,1.1804886,0.0345774531665207,0.1029719209952333,0.128509754617743,-0.4179622404882827,0.1187327241791947,0.3771973638719102,-0.0095964423250418,0.9918297047940632,False,0.3963857924253964,,,,,
291,Brashard Smith,RB,KC,60.73371,22.00838,105.091576,34.480415,14.976,-3.1623344,-1.2651844,21.340584,14.963999,3.3470154,1.6997604,2.2164116,0.0445430072041222,0.0875238882111574,0.0420757066238526,-0.4470174378795676,0.137750360963442,0.3419484179188272,0.0481820440920068,0.9766929310692876,False,0.3495589676576282,,,,,
